Наименование стабилитрона,"Uст, мин, В","Uст, ном, В","Uст, макс, В","Uст, В Iст, мА","alphaUст, %/°С","deltaUст, % text","Uпр, В (при Iпр, мА)","rст, Ом (при Iст, мА)","Iст, мин, мА","Iст, макс, мА","Pпр, Вт","T, °С"
КС133А,-,"3,3",-,10,"-0,11",-,1 (50),65 (10),3,81,"0,3",-60...+125
КС133Г,"2,95",-,"3,65",5,-,-,-,150 (5),1,"37,5",125 мВт,-60...+ 125
КС133Д-1,"3,1","3,3","3,5",-,"0,075","±1,5",180(3),"0,25",15,"0,05","0,05",-60...+125
КС136Д-1,"3,4","3,6","3,8",-,"0,07","±1,5",-,180 (3),"0,25",14,"0,05",-60...+ 125
КС139А,-,"3,3",-,10,"-0,1",-,1 (50),60 (10),3,79,"0,3",-60...+ 125
КС139Г,"3,5",-,"4,3",5,-,-,-,150 (5),1,32,125 мВт,-60...+125
КС139Д-1,"3,7","3,9","4,1",-,"0,005","±0,5",-,180 (3),"0,25",13,"0,05",-60...+ 125
КС143Д-1,4,"4,3","4,6",-,"0,06","±1,5",-,180 (3),"0,25",12,"0,05",-60...+ 125
КС147А,-,"4,7",-,10,"-0,09",-,1 (50),56 (10),3,58,"0,3",-60...+125
КС147Г,"4,2",-,"5,2",5,-,-,-,150(5),1,"26,5",125 мВт,-60...+125
КС156А,-,"5,6",-,10,"±0,05",-,1 (50),46 (10),3,55,"0,3",-60... + 125
КС156Г,5,-,"6,2",5,-,-,-,100 (5),1,"22,4",125 мВт,-60... + 125
КС162А,-,"6,2",-,10,"±0,06","±1,5",-,35 (10),3,22,"0,15",-55... + 100
КС162А2,"5,8",-,"6,6",5,"±0,01","1,5","0,25 (5 мА)",35 (10 мА),-,-,-,-
КС162А-3,"5,8","6,2","6,6",5,"±0,01","1,5",-,50 (5),3,22,"0,15",-60...+ 125
КС164М-1,6,-,"6,7","1,5","±0,005","±0,1",-,"<=120 (1,5 мА)","0,5",3,"0,02",-60...+125
КС166А,-,"6,6",-,"7,5","±0,002","±1,4 мВ",-,"<=20 (7,5 мА)",3,10,"0,07",-60...+ 125
КС166Б,-,"6,6",-,"7,5","±0,001","±1,4 мВ",-,"<=20 (7,5 мА)",3,10,"0,07",-60...+ 125
КС166В,-,"6,6",-,"7,5","±0,0005","±1,4 мВ",-,"<=20 (7,5 мА)",3,10,"0,07",-60...+ 125
КС168А,-,"6,8",-,10,"±0,06",-,1 (50),23 (10),3,45,"0,3",-60...+ 125
КС168В,-,"6,8",-,10,"±0,05","±1,5",-,28 (10),3,20,"0,15",-55... + 100
КС168В2,"6,3",-,"7,3",5,"0,05","1,5","0,27 (5 мА)",35 (5 мА),-,-,-,-
КС168ВЗ,"6,3","6,8","7,3",5,"0,05","1,5",-,45 (5),3,20,"0,15",-60...+125
КС170А,"6,65",7,"7,35",10,"±0,01","±1,5",-,20 (10),3,20,"0,15",-55...+100
КС175А,-,"7,5",-,5,"±0,04","±1,5",-,16 (5),3,18,"0,15",-55...+ 100
КС175Е,"7,1","7,5","7,9",5,"±0,1",-,-,-,3,17,"0,125",-60...+125
КС175Ж,"7,1","7,5","7,9",4,"0,07","±1,5",-,40 (4),"0,5",17,125 мВт,-60...+125
КС175Ц,"7,1","7,5","7,9","0,5","0,065","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1",17,"0,125",-60...+ 125
КС175А-2,7,-,8,5,"0,04","1,5","0,3 (5 мА)",16 (5 мА),-,-,-,-
КС175Ж-1,"6,8","7,5","8,3",4,"0,07","±1,5",-,40 (4),"0,5",17,125 мВт,-60...+125
КС182А,-,"8,2",-,5,"±0,05","±1,5",-,14 (5),3,17,"0,15",-55...+ 100
КС182Е,"7,4","8,2",9,5,"±0,1",-,-,-,3,15,"0,125",-60...+ 125
КС182Ж,"7,4","8,2",9,4,"0,08","±1,5",-,40 (4),"0,5",15,125 мВт,-60...+ 125
КС182Ц,"7,8","8,2","8,6","0,5","0,07","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1",15,"0,125",-60...+ 125
КС182А2,"7,6",-,"8,8",5,"0,05","1,5","0,33 (5 мА)",14 (5 мА),-,-,-,-
КС182Ц-1,"7,8","8,2","8,6","0,5","0,065",±3,-,"820 (0,1)","0,1","2,5","0,02",-45...+85
КС190Б,"8,5",9,"9,5",10,"±0,005",-,-,15 (10),5,15,"0,1",-60...+ 125
КС190В,"8,5",9,"9,5",10,"±0,002",-,-,15 (10),5,15,"0,1",-60...+ 125
КС190Г,"8,5",9,"9,5",10,"±0,001",-,-,15 (10),5,15,"0,1",-60...+ 125
КС190Д,"8,5",9,"9,5",10,"±0,0005",-,-,15 (10),5,15,"0,1",-60...+ 125
КС191А,-,"9,1",-,5,"±0,06","±1,5",-,18 (5),3,15,"0,15",-55...+ 100
КС191Б,"8,7",-,"9,6",5,"±0,010",10,-,15 (10 мА),3,15,"0,15",-55...+ 100
КС191В,"8,7",-,"9,6",5,"±0,010",10,-,15 (10 мА),3,15,"0,15",-55...+ 100
КС191Е,"8,6","9,1","9,6",5,"±0,1",-,-,-,3,14,"0,125",-60...+ 125
КС191Ж,"8,6","9,1","9,6",4,"0,09","1,5",-,40 (4),"0,5",14,125 мВт,-60...+ 125
КС191М,"8,65","9,1","9,55",10,"±0,005","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191Н,"8,65","9,1","9,55",10,"±0,002","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191П,"8,65","9,1","9,55",10,"±0,001","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191Р,"8,65","9,1","9,55",10,"±0,0005","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191С,"8,65","9,1","9,55",10,"±0,005",±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191Т,"8,65","9,1","9,55",10,±0.0025,±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191У,"8,65","9,1","9,55",10,"±0,001",±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191Ф,"8,65","9,1","9,55",10,"±0,0005",±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191Ц,"8,6","9,1","9,6","0,5","0,08","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1",14,"0,125",-60...+125
КС191А2,"8,5",-,"9,7",5,"0,05","1,5","0,36 (5 мА)",18 (5 мА),-,-,-,-
КС191Ж-1,"8,2","9,1",10,4,"0,09",±1,-,40 (4),"0,5",14,125 мВт,-60...+125
КС191С1,-,"9,1",-,10,±56 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+100
КС191Т1,-,"9,1",-,10,±28 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+ 100
КС191У1,-,"9,1",-,10,±11 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+100
КС191Ф1,-,"9,1",-,10,±6 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+ 100
КС207А,-,10,-,5,"0,09",-,-,30 (5 мА),"0,5",40,"0,45",-
КС207Б,-,11,-,5,"0,092",-,-,30 (5 мА),"0,5",36,"0,45",-
КС207В,-,12,-,5,"0,095",-,-,30 (5 мА),"0,5",32,"0,45",-
КС208А,-,10,-,5,-,-,-,30 (5 мА),-,40,"0,45",-
КС208Б,-,11,-,5,-,-,-,30 (5 мА),-,36,"0,45",-
КС208В,-,12,-,5,-,-,-,30 (5 мА),-,32,"0,45",-
КС210Б,-,10,-,5,"±0,07","±1,5",-,22 (5),3,14,"0,15",-55...+100
КС210Е,9,10,11,5,"±0,1",-,-,-,3,13,"0,125",-60...+ 125
КС210Ж,9,10,11,4,"0,09","±1,5",-,40 (4),"0,5",13,125 мВт,-60...+ 125
КС210Ц,"10,5",10,"10,5","0,5","0,085","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1","12,5","0,125",-60...+ 125
КС210Б2,"9,3",-,"10,7",5,"0,07","1,5","0,4 (5 мА)",22 (5 мА),-,-,-,-
КС211Б,17,11,"12,6",10,"0,02",-,-,30 (5),5,33,"0,28",-60...+ 100
КС211В,"9,3",11,11,10,"-0,02",-,-,30 (5),5,33,"0,28",-60...+125
КС211Г,"9,9",11,"12,1",10,"0,01",-,-,30 (5),5,33,"0,28",-60...+125
КС211Д,"9,9",11,"12,1",10,"0,005",-,-,30 (5),5,33,"0,28",-60...+ 125
КС211Е,"10,4",11,"11,6",5,"±0,1",-,-,-,3,12,"0,125",-60...125
КС211Ж,"10,4",11,"11,6",4,"0,092","±1,5",-,40 (4),"0,5",12,125 мВт,-60...125
КС211Ц,"10,4",11,"11,6","0,5","0,085","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1","11,2","0,125",-60...+ 125
КС211Ж-1,"9,9",11,12,4,"0,09",±1,-,40 (4),"0,5",12,125 мВт,-60...125
КС212Е,"10,8",12,"13,2",5,"±0,1",-,-,-,3,11,"0,125",-60...125
КС212Ж,"10,8",12,"13,2",4,"0,095","±1,5",-,40 (4),"0,5",11,125 мВт,-60... + 125
КС212Ц,"11,4",12,"12,6","0,5","0,085","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1","10,6","0,125",-60...+125
КС213Б,-,13,-,5,"±0,08","±1,5",-,25 (5),3,10,"0,15",-55...+ 100
КС213Е,"12,3",13,"13,7",5,"±0,1",-,-,-,3,10,125 мВт,-60...+125
КС213Ж,"12,3",13,"13,7",4,"0,095","±1,5",-,40 (4),"0,5",10,125 мВт,-60...+125
КС213Б2,"12,1",-,"13,9",5,"0,08","1,5","0,52 (5 мА)",25 (5 мА),-,-,-,-
КС215Ж,"13,5",15,"16,5",2,"0,1","±1,5",-,70 (2),"0,5","8,3",125 мВт,-60...+ 125
КС216Ж,"15,2",16,"16,8",2,"0,1","±1,5",-,70 (2),"0,5","7,3",125 мВт,-60...+125
КС216Ж-1,14,16,18,2,"0,1",±1,-,70 (2),"0,5","7,8",125 мВт,-60...+125
КС218Ж,"16,2",18,"19,8",2,"0,1","±1,5",-,70 (2),"0,5","6,9",125 мВт,-60...+ 125
КС220Ж,19,20,21,2,"0,1","±1,5",-,70 (2),"0,5","6,2",125 мВт,-60...+125
КС220Ж-1,18,20,22,2,"0,1",±1,-,70 (2),"0,5","6,2",125 мВт,-60...+125
КС222Ж,"19,8",22,"24,2",2,"0,1","±1,5",-,70 (2),"0,5","5,7",125 мВт,-60...+ 125
КС224Ж,"22,8",24,"25,2",2,"0,1","±1,5",-,70 (2),"0,5","5,2",125 мВт,-60...+125
КС224Ж-1,22,24,26,2,"0,1",±1,-,70 (2),"0,5","5,2",125 мВт,-60...+125
КС405А,"5,89","6,2","6,51","0,5","0,002","0,1",-,"200 (0,5)","0,1",60,"0,4",-45...+85
КС405Б,"5,9","6,2","6,51","0,5","0,005","±0,1",-,200 (2),"0,1","2,2","0,4",-45...+85
КС406А,"7,7","8,2","8,7",15,-,-,-,"6,5 (15)","0,5",35,"0,5",-40...+85
КС406Б,"9,4",10,"10,6","12,5",-,-,-,"8,5 (12,5)","0,25",28,"0,5",-40...+85
КС407А,"3,1","3,3","3,5",20,-,-,-,28 (20),1,100,"0,5",-40...+85
КС407Б,"3,7","3,9","4,1",20,-,-,-,23 (20),1,83,"0,5",-40...+85
КС407В,"4,4","4,7",5,20,-,-,-,19 (20),1,68,"0,5",-40...+85
КС407Г,"4,8","5,1","5,4",20,-,-,-,17 (20),1,59,"0,5",-40...+85
КС407Д,"6,4","6,8","7,2","18,5",-,-,-,"4,5 (18,5)",1,42,"0,5",-40...+85
КС407Е,"3,4","3,6","3,8",20,"0,05","±1,5",-,28 (20),1,90,"0,34",-40...+85
КС409А,"5,3",-,"5,9",5,-,"1,5",-,20 (5),1,48,"0,4",-40...+85
КС410АС,"7,79","8,2","8,61",10,"<=0,065",-,-,-,-,-,-,-
КС412А,"5,8","6,2","6,6",5,"<=0,06","±1,5",<=1 (10 мА),<=10 (5 мА),1,55,"0,4",-60...+ 125
КС413Б,"4,1","4,3","4,5",-,"0,01; -0,05","±1,5",-,18 (20),1,70,"0,34",-60... + 125
КС415А,"2,3","2,4","2,5",-,"0,06; -0,09","±1,5",-,30 (20),1,120,"0,34",-60...+125
КС417А,"5,2",-,6,-,-,-,-,40 (5 мА),-,-,"0,5",-
КС417Б,"5,8",-,"6,6",-,-,-,-,10 (5 мА),-,-,"0,5",-
КС417В,"6,4",-,"7,2",-,-,-,-,8 (5 мА),-,-,"0,5",-
КС417Г,7,-,"7,9",-,-,-,-,7 (5 мА),-,-,"0,5",-
КС417Д,"7,7",-,"8,7",-,-,-,-,7 (5 мА),-,-,"0,5",-
КС417Е,"8,5",-,"9,6",-,-,-,-,10 (5 мА),-,-,"0,5",-
КС417Ж,"9,4",-,"10,6",-,-,-,-,15 (5 мА),-,-,"0,5",-
КС433А,"2,97","3,3","3,89",30,"-0,1","±1,5",-,25 (30),3,191,1,-60...+100
КС439А,"3,52","3,9","4,69",30,"-0,1","±1,5",-,25 (30),3,176,1,-60...+100
КС447А,4,"4,7","5,3",30,"-0,08","±1,5",-,18 (30),3,159,1,-60...+ 100
КС451А,"4,8","5,1","5,3",-,"0,04; -0,02","±1,5",-,16 (30),3,148,1,-60...+125
КС456А,"4,82","5,6","6,16",30,-,-,-,-,-,-,-,-
КС468А,"5,78","6,8","7,48",30,"0,065","±1,5",-,5 (30),3,119,1,-60... + 100
КС468А-9,"6,12","6,8","7,48",-,"0,065","±1,5",-,5 (30),3,52,"0,4",-60...+125
КС482А,"6,98","8,2",9,5,"0,08","±1,5",1 (50),200 (1),1,96,1,-60...+ 100
КС482А-9,"7,4","8,2",9,-,"0,08","±1,5",-,25 (5),1,43,"0,4",-60...+125
КС506А,44,-,50,"2,7","<=0,09",<=2,<=2 (50 мА),"<=105 (2,7 мА)","0,25","8,5","0,5",-60...+125
КС506Б,44,47,50,-,"0,09",2,-,"105 (2,7)","0,25","6,5","0,34",-60...+ 125
КС506В,"6,4",68,72,-,"0,1",2,-,200 (2),1,"5,5","0,4",-60...+ 125
КС506Г,"13,8",15,"15,6",-,"0,75",2,-,30 (5),1,27,"0,5",-60...+125
КС506Д,"18,8",20,21,-,"0,09",2,-,55 (5),1,20,"0,5",-60... + 125
КС507А,31,-,35,8,"<=0,09",<=2,2 (50 мА),<35 (8 мА),"0,25",33,"1,3",-60...+ 125
КС508А,"11,4",12,"12,7","10,5",-,-,-,"11,5 (10,5)","0,25",23,"0,5",-40...+85
КС508Б,"13,8",15,"15,6","8,5",-,-,-,"16 (8,5)","0,25",18,"0,5",-40...+85
КС508В,"15,3",16,"17,1","7,8",-,-,-,"17 (7,8)","0,25",17,"0,5",-40...+85
КС508Г,"16,8",18,"19,1",7,-,-,-,21 (7),"0,25",15,"0,5",-40...+85
КС508Д,"22,8",24,"25,6","5,2",-,-,-,"33 (5,2)","0,25",11,"0,5",-40...+85
КС509А,"13,8",-,"15,6",15,"0,09","1,5",-,"500 (0,5)","0,5",42,"1,3",-40...+85
КС509Б,"16,8",-,"19,1",15,"0,09","1,5",-,"500 (0,5)","0,5",35,"1,3",-40...+85
КС509В,"18,8",-,"21,2",10,"0,09","1,5",-,"600 (0,5)","0,5",31,"1,3",-40...+85
КС510А,"8,2",10,11,5,"0,1","±1,5",1 (50),200 (1),1,79,1,-60...+100
КС511А,"14,3",15,"15,8",1,"<=0,084",-,-,-,-,-,-,-
КС511Б,"71,3",75,"78,8",1,"<=0,105",-,-,-,-,-,-,-
КС512А,"9,9",12,"13,2",5,"0,1","±1,5",1 (50),200 (1),1,67,1,-60...+100
КС513А,31,-,35,-,"<=0,085",<=2,<=2 (50 мА),<=45 (15 мА),"0,25",85,3,-60... + 125
КС515А,"12,3",15,"16,5",5,"0,1","±1,5",1 (50),200 (1),1,53,1,-60...+100
КС515Г,"14,25",15,"15,75",10,"±0,005",-,-,<=25 (10 мА),3,31,"0,5",-60...+100
КС515Г-2,14,15,16,-,"±0,005",-,-,25 (10),3,31,"0,5",-60...+ 100
КС518А,"14,7",18,"19,8",5,"0,1","±1,5",1 (50),200 (1),1,45,1,-60... + 100
КС520В,19,20,21,5,"±0,001",-,-,210 (3),3,22,"0,5",-55...+ 100
КС520В-2,19,20,21,-,"±0,01",±1,-,120 (5),3,22,"0,5",-55...+100
КС522А,"17,9",22,"24,2",5,"0,1","±1,5",1 (50),200 (1),1,37,1,-60...+ 100
КС524Г,"22,8",24,"25,2",10,"±0,005",-,-,<=40 (10 мА),3,19,"0,5",-60...+ 100
КС524Г-2,23,24,25,-,±0.005,"±0,5",-,40 (10),3,9,"0,5",-60...+100
КС527А,22,27,"29,7",5,0.1,"±1,5",1 (50),200 (1),1,30,1,-60...+100
КС528А,"10,4",-,"11,6",-,-,-,-,20 (5 мА),-,-,"0,15",-
КС528Б,"11,4",-,"12,7",-,-,-,-,20 (5 мА),-,-,"0,15",-
КС528В,"12,4",-,"14,1",-,-,-,-,25 (5 мА),-,-,"0,15",-
КС528Г,"13,8",-,"15,6",-,-,-,-,30 (5 мА),-,-,"0,15",-
КС528Д,"15,3",-,"17,1",-,-,-,-,40 (5 мА),-,-,"0,15",-
КС528Е,"16,8",-,19.1,-,-,-,-,55 (5 мА),-,-,"0,15",-
КС528Ж,"18,8",-,21 2,-,-,-,-,55 (5 мА),-,-,"0,15",-
КС528И,"20,8",-,"23,3",-,-,-,-,60 (5 мА),-,-,"0,15",-
КС528К,"22,8",-,"25,6",-,-,-,-,80 (5 мА),-,-,"0,15",-
КС528Л,"25,1",-,"28,9",-,-,-,-,80 (5 мА),-,-,"0,15",-
КС528М,"28,5",-,"31,5",-,-,-,-,120 (5 мА),-,-,"0,15",-
КС528Н,"30,4",-,"34,6",-,-,-,-,"120 (2,5 мА)",-,-,"0,15",-
КС528П,"34,2",-,"37,8",-,-,-,-,"120 (2,5 мА)",-,-,"0,15",-
КС528Р,37,-,41,-,-,-,-,"120 (2,5 мА)",-,-,"0,15",-
КС528С,"40,9",-,"45,1",-,-,-,-,"120 (2,5 мА)",-,-,"0,15",-
КС528Т,"44,7",-,"49,3",-,-,-,-,"120 (2,5 мА)",-,-,"0,15",-
КС528У,"48,5",-,"53,5",-,-,-,-,"120 (2,5 мА)",-,-,"0,15",-
КС528Ф,"53,2",-,"58,8",-,-,-,-,"140 (2,5 мА)",-,-,"0,15",-
КС528Х,"58,9",-,"65,4",-,-,-,-,"140 (2,5 мА)",-,-,"0,15",-
КС528Ц,"64,6",-,"71,4",-,-,-,-,"180 (2,5 мА)",-,-,"0,15",-
КС530А,28,30,31,-,"0,1","±1,5",-,45 (5),1,27,4,-60...+125
КС530А-1,27,30,33,-,"0,1","±1,5",-,45 (5),1,27,4,-60... + 125
КС531В,"29,45",31,"32,55",10,"±0,005",-,-,350 (3),3,15,"0,5",-50... + 100
КС531В-2,29,31,33,,"±0,005",±1,-,90 (5),1,15,"0,5",-60...+ 100
КС533А,"29,7",33,"36,3",10,"0,1",,1 (50),100 (3),3,17,640 мВт,-40...+ 125
КС535А,7,-,9,-,-2 мВ,-,-,-,"0,1",50,-,-
КС535Б,14,-,16,-,"±0,5 мВ",-,-,-,"0,1",30,-,-
КС535В,19,-,23,-,+2 мВ,-,-,-,"0,1",20,-,-
КС535Г,28,-,32,-,+4 мВ,-,-,-,"0,1",15,-,-
КС536А-1,34,36,38,-,"0,1","±1,5",-,50 (5),1,23,1,-60...+ 125
КС539Г,37,39,41,10,"±0,005",,-,<=65 (10 мА),3,17,"0,72",-60...+ 100
КС539Г-2,37,39,41,3,"±0,005","±0,5",-,65 (10),3,17,"0,72",-60...+ 100
КС547В,"44,65",47,"49,35",5,"±0,001",-,-,490 (3),3,10,"0,5",-50...+ 100
КС547В-2,45,47,49,-,"±0,01",±1,-,280 (5),3,10,"0,5",-60...+100
КС551А,48,51,54,"1,5","±0,12","±1,5",1 (50),"200 (1,5)",1,"14,6",1,-60...+125
КС568В,"64,6",68,"71,4",5,"±0,001",-,-,700 (3),3,10,"0,72",-50...+100
КС568В-2,65,68,71,-,"±0,001",±1,-,400 (5),3,10,"0,72",-60...+ 100
КС582Г,37,39,41,10,"0,005",-,-,480 (10),3,8,"0,428",-60...+100
КС582Г-2,78,82,86,-,"±0,001","±0,5",-,480 (5),3,8,"0,72",-60...+ 100
КС591А,86,91,96,"1,5","±0,12","±1,5",1 (50),"400 (1,5)",1,"8,8",1,-60...+125
КС596В,"91,2",96,"100,8",5,"±0,001",-,-,980 (3),3,7,"0,72",-50...+ 100
КС596В-2,91,96,101,-,"±0,01",±1,-,560 (5),3,7,"0,72",-60... + 100
КС600А,95,100,105,"1,5","±0,12",±1.5,1 (50),"450 (1,5)",1,"8,1",1,-60...+ 125
КС620А,102,120,138,50,"0,1",-,"1,5 (500)",150 (50),5,42,5,-60...+125
КС630А,"110,5",130,"149,5",50,"0,2",-,"1,5 (500)",180 (50),5,38,5,-60...+125
КС650А,"127,5",150,"172,5",25,"0,2",-,"1,5 (500)",270 (50),"2,5",33,5,-60...+125
